STUDENT_ID,SCHEMA_ID,LOG_TIME,ARTEFACT_DIMENSION,ALGORITHM_DIMENSION,AGE_CATEGORY,AGE,GENDER,SESSION_ID,HARMOS_GRADE,SCHOOL_ID,CANTON_NAME,CAT_SCORE,DOMAIN
16,6,62.0,0.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),1.0,Virtual
16,7,38.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
16,8,114.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
16,9,49.0,1.0,0.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),1.0,Virtual
16,10,88.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
17,1,5.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
17,2,24.0,1.0,0.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),1.0,Virtual
17,3,48.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
17,4,53.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
17,5,23.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
17,6,38.0,1.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
17,7,122.0,0.0,1.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),1.0,Virtual
17,8,130.0,0.0,2.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
17,9,143.0,0.0,2.0,From 3 to 6 years old,6,Male,2,2,A,Ticino (TI),2.0,Virtual
18,1,12.0,1.0,1.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),2.0,Virtual
18,2,36.0,0.0,1.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),1.0,Virtual
18,3,33.0,0.0,1.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),1.0,Virtual
18,4,47.0,0.0,2.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),2.0,Virtual
18,5,24.0,0.0,1.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),1.0,Virtual
18,6,30.0,0.0,1.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),1.0,Virtual
18,7,213.0,0.0,1.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),1.0,Virtual
18,8,123.0,0.0,1.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),1.0,Virtual
18,9,101.0,0.0,0.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),0.0,Virtual
18,10,66.0,0.0,1.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),1.0,Virtual
18,11,197.0,0.0,1.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),1.0,Virtual
18,12,84.0,0.0,1.0,From 3 to 6 years old,6,Female,2,2,A,Ticino (TI),1.0,Virtual
19,1,16.0,1.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
19,2,34.0,0.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),1.0,Virtual
19,3,36.0,0.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),1.0,Virtual
19,4,50.0,0.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),1.0,Virtual
19,5,21.0,0.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),1.0,Virtual
19,6,71.0,0.0,2.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
19,7,104.0,0.0,2.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
19,8,427.0,0.0,2.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),2.0,Virtual
19,9,253.0,0.0,0.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),0.0,Virtual
19,10,208.0,0.0,1.0,From 3 to 6 years old,5,Female,2,2,A,Ticino (TI),1.0,Virtual
