STUDENT_ID,SCHEMA_ID,ARTEFACT_DIMENSION,ALGORITHM_DIMENSION,AGE_CATEGORY,AGE,GENDER,SESSION_ID,HARMOS_GRADE,SCHOOL_ID,CAT_SCORE,DOMAIN,CANTON_NAME
17,6,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
17,7,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
17,8,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
17,9,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
17,10,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
17,11,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
17,12,2,0,From 14 to 16 years old,14,Female,3.0,11,C,2,Unplugged,Ticino (TI)
18,1,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
18,2,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
18,3,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
18,4,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
18,5,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
18,6,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
18,7,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
18,8,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
18,9,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
18,10,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
18,11,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
18,12,2,0,From 14 to 16 years old,14,Female,3.0,11,C,2,Unplugged,Ticino (TI)
19,1,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
19,2,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
19,3,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
19,4,2,2,From 14 to 16 years old,15,Male,3.0,11,C,4,Unplugged,Ticino (TI)
19,5,2,1,From 14 to 16 years old,15,Male,3.0,11,C,3,Unplugged,Ticino (TI)
